college_code
5108
5109
5121
5121
5124
5130
5139
5151
5160
5161
5162
5173
5176
5177
5179
5184
5303
5322
5331
5380
5382
5390
5399
5401
5408
5411
5418
6004
6122
6122
6138
6141
6144
6146
6149
6155
6160
6160
6175
6176
6177
6177
6179
6184
6184
6187
6203
6207
6272
6272
6275
6278
6284
6289
6298
6307
6319
6320
6324
6324
6325
6325
6620
6628
6632
6632
6634
6634
6635
6649
6732
6755
6755
6768
6768
6769
6769
6787
6794
6795
6796
6802
6822
6834
